IPV4,#genre#
CCTV1,http://117.144.58.42:35455/gaoma/cctv1.m3u8
CCTV1,http://hangfun.top:35455/gaoma/cctv1.m3u8
CCTV1,http://1.itv.nctv.top:35455/gaoma/cctv1.m3u8
CCTV1,http://lt.hxtre.com:35455/gaoma/cctv1.m3u8
CCTV1,http://home.dzlove.top:35455/gaoma/cctv1.m3u8
CCTV2,http://117.144.58.42:35455/gaoma/cctv2.m3u8
CCTV2,http://lt.hxtre.com:35455/gaoma/cctv2.m3u8
CCTV2,http://nmmp.asia:35455/gaoma/cctv2.m3u8
CCTV2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8
CCTV2,http://home.dzlove.top:35455/gaoma/cctv2.m3u8
CCTV3,http://nmmp.asia:35455/gaoma/cctv3.m3u8
CCTV3,http://1.itv.nctv.top:35455/gaoma/cctv3.m3u8
CCTV3,http://hangfun.top:35455/gaoma/cctv3.m3u8
CCTV3,http://home.dzlove.top:35455/gaoma/cctv3.m3u8
CCTV3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225634/index.m3u8
CCTV4,http://117.144.58.42:35455/gaoma/cctv4k.m3u8
CCTV4,http://nmmp.asia:35455/gaoma/cctv4.m3u8
CCTV4,http://lt.hxtre.com:35455/gaoma/cctv4k.m3u8
CCTV4,http://home.wwang.pw:35455/gaoma/cctv4.m3u8
CCTV4,http://1.itv.nctv.top:35455/gaoma/cctv4k.m3u8
CCTV5,http://home.dzlove.top:35455/gaoma/cctv5.m3u8
CCTV5,http://nmmp.asia:35455/gaoma/cctv5.m3u8
CCTV5,http://117.144.58.42:35455/gaoma/cctv5.m3u8
CCTV5,http://1.itv.nctv.top:35455/gaoma/cctv5.m3u8
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225633/index.m3u8
CCTV5+,http://1.itv.nctv.top:35455/gaoma/cctv5p.m3u8
CCTV5+,http://lt.hxtre.com:35455/gaoma/cctv5p.m3u8
CCTV5+,http://home.dzlove.top:35455/gaoma/cctv5p.m3u8
CCTV5+,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225649/index.m3u8
CCTV5+,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225706/index.m3u8
CCTV6,http://home.dzlove.top:35455/gaoma/cctv6.m3u8
CCTV6,http://home.wwang.pw:35455/gaoma/cctv6.m3u8
CCTV6,http://1.itv.nctv.top:35455/gaoma/cctv6.m3u8
CCTV6,http://hangfun.top:35455/gaoma/cctv6.m3u8
CCTV6,http://60.12.183.46:9901/tsfile/live/0006_1.m3u8
CCTV7,http://117.144.58.42:35455/gaoma/cctv7.m3u8
CCTV7,http://home.dzlove.top:35455/gaoma/cctv7.m3u8
CCTV7,http://hangfun.top:35455/gaoma/cctv7.m3u8
CCTV7,http://nmmp.asia:35455/gaoma/cctv7.m3u8
CCTV7,http://lt.hxtre.com:35455/gaoma/cctv7.m3u8
CCTV8,http://117.144.58.42:35455/gaoma/cctv8.m3u8
CCTV8,http://home.wwang.pw:35455/gaoma/cctv8.m3u8
CCTV8,http://nmmp.asia:35455/gaoma/cctv8.m3u8
CCTV8,http://1.itv.nctv.top:35455/gaoma/cctv8.m3u8
CCTV8,http://home.dzlove.top:35455/gaoma/cctv8.m3u8
CCTV9,http://home.wwang.pw:35455/gaoma/cctv9.m3u8
CCTV9,http://lt.hxtre.com:35455/gaoma/cctv9.m3u8
CCTV9,http://117.144.58.42:35455/gaoma/cctv9.m3u8
CCTV9,http://home.dzlove.top:35455/gaoma/cctv9.m3u8
CCTV9,http://58.57.40.22:9901/tsfile/live/1009_1.m3u8
CCTV10,http://39.164.160.249:9901/tsfile/live/0010_1.m3u8
CCTV10,http://home.dzlove.top:35455/gaoma/cctv10.m3u8
CCTV10,http://117.144.58.42:35455/gaoma/cctv10.m3u8
CCTV10,http://home.wwang.pw:35455/gaoma/cctv10.m3u8
CCTV10,http://nmmp.asia:35455/gaoma/cctv10.m3u8
CCTV11,http://117.144.58.42:35455/gaoma/cctv11.m3u8
CCTV11,http://hangfun.top:35455/gaoma/cctv11.m3u8
CCTV11,http://nmmp.asia:35455/gaoma/cctv11.m3u8
CCTV11,http://60.12.183.46:9901/tsfile/live/0011_1.m3u8
CCTV11,http://lt.hxtre.com:35455/gaoma/cctv11.m3u8
CCTV12,http://39.164.160.249:9901/tsfile/live/0012_1.m3u8
CCTV12,http://117.144.58.42:35455/gaoma/cctv12.m3u8
CCTV12,http://1.itv.nctv.top:35455/gaoma/cctv12.m3u8
CCTV12,http://home.wwang.pw:35455/gaoma/cctv12.m3u8
CCTV12,http://58.57.40.22:9901/tsfile/live/1012_1.m3u8
CCTV13,http://117.144.58.42:35455/gaoma/cctv13.m3u8
CCTV13,http://39.164.160.249:9901/tsfile/live/0013_1.m3u8
CCTV13,http://home.wwang.pw:35455/gaoma/cctv13.m3u8
CCTV13,http://home.dzlove.top:35455/gaoma/cctv13.m3u8
CCTV13,http://nmmp.asia:35455/gaoma/cctv13.m3u8
CCTV14,http://hangfun.top:35455/gaoma/cctv14.m3u8
CCTV14,http://117.144.58.42:35455/gaoma/cctv14.m3u8
CCTV14,http://1.itv.nctv.top:35455/gaoma/cctv14.m3u8
CCTV14,http://nmmp.asia:35455/gaoma/cctv14.m3u8
CCTV14,http://home.dzlove.top:35455/gaoma/cctv14.m3u8
CCTV15,http://117.144.58.42:35455/gaoma/cctv15.m3u8
CCTV15,http://hangfun.top:35455/gaoma/cctv15.m3u8
CCTV15,http://home.dzlove.top:35455/gaoma/cctv15.m3u8
CCTV15,http://home.wwang.pw:35455/gaoma/cctv15.m3u8
CCTV15,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225641/index.m3u8
CCTV16,http://117.144.58.42:35455/gaoma/cctv16.m3u8
CCTV16,http://hangfun.top:35455/gaoma/cctv16.m3u8
CCTV16,http://lt.hxtre.com:35455/gaoma/cctv16.m3u8
CCTV16,http://nmmp.asia:35455/gaoma/cctv16.m3u8
CCTV16,http://home.dzlove.top:35455/gaoma/cctv16.m3u8
CCTV17,http://117.144.58.42:35455/gaoma/cctv17.m3u8
CCTV17,http://1.itv.nctv.top:35455/gaoma/cctv17.m3u8
CCTV17,http://home.dzlove.top:35455/gaoma/cctv17.m3u8
CCTV17,http://lt.hxtre.com:35455/gaoma/cctv17.m3u8
CCTV17,http://nmmp.asia:35455/gaoma/cctv17.m3u8
CCTV世界地理,http://111.61.236.247:9081/hls/62/index.m3u8
CCTV世界地理,http://120.76.248.139/live/bfgd/4200000177.m3u8
CCTV世界地理,http://36.129.204.117:9003//hls/78/index.m3u8
CCTV世界地理,http://60.2.190.206:4000/udp/239.253.92.113:8066
CCTV世界地理,http://home.dzlove.top:35455/rptv/G_SHIJIEDL-CQ.m3u8?license=gitv
